,en,de
5187,People outside in yard with two kids climbing ladder to tree house.,"Menschen draußen im Hof, zwei Kinder steigen eine Leiter zum Baumhaus hinauf."
5188,A man and a girl stand in front of a large crowd.,Ein Mann und ein Mädchen stehen vor einer großen Menschenmenge.
5189,"Younger looking man wearing black shorts and tank, with running shoes, laying down on a outdoor bench.",Jüngerer Mann in schwarzen Shorts und Tank-Top mit Laufschuhen liegt auf einer Bank im Frauen.
5190,A woman walking beside a purple wall.,Eine Frau geht neben einer violetten Wand entlang.
5191,"A young girl dressed in vibrant clothes, grooms the dapple horse.",Ein junges Mädchen in farbenfroher Kleidung striegelt das gefleckte Pferd.
5192,The employees of a culinary establishment prepare food for watching customers.,Die Mitarbeiter eines Gastronomiebetriebs bereiten Essen für zuschauende Kunden zu.
5193,Two young asian girls look off into the distance while standing in an urban area.,Zwei junge asiatische Mädchen stehen in einem städtischen Gebiet und blicken in die Ferne.
5194,A man and a woman stand facing each other in front of a silver-colored wall.,Ein Mann und eine Frau stehen einander vor einer silbernen Wand gegenüber.
5195,An older gentlemen who is wearing a striped polo shirt holding a little kid's hand.,Ein älterer Herr in gestreiftem Polohemd hält ein kleines Kind an der Hand.
5196,A baby is sleeping with his blanket on.,Ein Baby schläft in seiner Decke.
5197,A man in a green long-sleeve shirt playing the violin in an empty auditorium.,Ein Mann in einem grünen langärmligen Hemd spielt in einem leeren Vortragssaal Geige.
5198,The brown dog is running in the water.,Der braune Hund rennt im Wasser.
5199,Two small babies are sitting in identical strollers.,Zwei kleine Babys sitzen in identisch aussehenden Kinderwagen.
5200,An old lady wearing a hat and smiling.,Eine alte Dame trägt einen Hut und lächelt.
5201,A middle-aged woman is repairing a part under the hood of her car.,Eine Frau mittleren Alters repariert ein Teil unter der Motorhaube ihres Autos.
5202,Group of male and female singers on stage.,Gruppe von Sängern und Sängerinnen auf der Bühne.
5203,Two men with red vests and green hats smoothing out wet cement,Zwei Männer mit roten Westen und grünen Hüten glätten nassen Zement.
5204,Men doing construction on a road.,Männer bei Bauarbeiten auf einer Straße.
5205,A man in an orange shirt and yellow hard hat walks on a road.,Ein Mann in orangefarbenem Hemd mit gelbem Schutzhelm geht auf einer Straße.
5206,A construction worker siting on a green tractor.,Bauarbeiter sitzt auf einem grünen Traktor.
5207,A tractor with a shovel arm is operated by a orange vest wearing driver at a construction site.,Ein Traktor mit Schaufelarm wird auf einer Baustelle von einem Fahrer in orangefarbener Weste betrieben.
5208,Two small dogs play on the lawn.,Zwei kleine Hunde spielen auf dem Rasen.
5209,A blond lady in a pink shirt is singing in front of a brick wall.,Eine blonde Dame in pinkfarbenem Hemd singt vor einer Ziegelmauer.
5210,Three individuals preparing food on a kitchen counter.,Drei Menschen bereiten auf einem Küchentresen Essen zu.
5211,A few people and cars out on their daily commute on a rainy day.,Ein paar Menschen und Autos an einem regnerischen Tag auf dem täglichen Arbeitsweg.
5212,A girl sits in a car wearing sunglasses and a hat.,Ein Mädchen mit Sonnenbrille und Hut sitzt in einem Auto.
5213,One man is standing in a red room while another person sits next to him.,"Ein Mann steht in einem roten Zimmer, neben ihm sitzt ein anderer Mensch."
5214,A female Texas A&amp;M tennis player dribbling the tennis ball.,Eine Texas-A&M-Tennisspielerin lässt den Tennisball auftitschen.
5215,Two men in white shirts with matching logos inspect the engine of a vintage red convertible.,Zwei Männer in weißen Hemden mit übereinstimmenden Logos überprüfen den Motor eines Oldtimer-Cabriolets.
5216,A man is banging on pots and pans in his kitchen.,Ein Mann schlägt in seiner Küche auf Töpfe und Pfannen.
5217,There is a man walking with a bag in front of a black square paneled wall.,Ein Mann mit einer Tasche läuft vor einer viereckigen schwarzen getäfelten Wand entlang.
5218,A small child on a blue toy is wearing an orange shirt.,Ein kleines Kind auf einem blauen Spielzeug trägt ein orangefarbenes T-Shirt.
5219,A kid takes flight inside a multicolored balloon bounce house.,Ein Kind auf der Flucht in einer bunten Hüpfburg.
5220,"An obese man dressed in only shorts, parking a red motor scooter",Ein nur mit Shorts bekleideter übergewichtiger Mann parkt einen roten Motorroller.
5221,Three women are jogging on a path.,Drei Frauen joggen auf einem Weg.
5222,A small dog jumps by a car to reach a lady's face while another dog watches.,"Neben einem Auto springt ein kleiner Hund zum Gesicht einer Frau, während ein anderer Hund zuschaut."
5223,An infant wearing a blue outfit is crying with their left hand visible.,"Ein Baby in blauer Ausstattung, dessen linke Hand nicht sichtbar ist, schreit."
5224,Two senor citizens talking on a public street.,Zwei Senioren unterhalten sich auf einer öffentlichen Straße.
5225,A man working on a contraption in an abandoned warehouse.,Ein Mann arbeitet an einer Vorrichtung in einem stillgelegten Lagergebäude.
5226,Four men looking up at another man getting ready to do something.,"Vier Männer schauen zu einem anderen Mann auf, der zu einer Handlung bereit ist."
5227,A man walking in front of a building with graffiti on it.,Ein Mann läuft an einem Gebäude mit Graffiti vorbei.
5228,A young man pauses to examine the image on his camera.,Ein junger Mann hält an und überprüft das Bild auf seiner Kamera.
5229,"A group of young Asians are sitting on steps, eating and watching something going on in front of them.","Eine Gruppe junger Asiaten sitzt essend auf einer Treppe und schaut etwas an, das vor ihnen passiert."
5230,A small toddler girl in a white dress walking,Ein kleines Mädchen in weißem Kleid läuft.
5231,A woman dressed in a buff or light yellow dress and fairy wings entertains children at a festival.,Eine Frau in einem lederfarbenen oder hellgelben Kleid und Elfenflügeln unterhält Kinder bei einem Fest.
5232,Three men drinking coffee sitting at a conference table.,Drei Männer sitzen an einem Konferenztisch und trinken Kaffee.
5233,There is a child in a red and yellow toy car.,Kind in einem rot-gelben Spielzeugauto.
5234,Woman in orange jacket playing with a black dog,Frau in orangefarbener Jacke spielt mit einem schwarzen Hund.
5235,A guy taking a photo of another guy who is standing in front of a broken television.,"Ein Typ macht ein Foto von einem anderen Typen, der vor einem kaputten Fernseher steht."
5236,A photographer with a red sweatshirt is inside a building.,Ein Fotograf mit rotem Sweatshirt ist in einem Gebäude.
5237,Four people standing in an empty building with graffiti on the walls in the background.,Vier Menschen stehen in einem leeren Gebäude mit Graffiti auf den Wänden im Hintergrund.
5238,A man in a red jacket takes pictures of graffiti.,Ein Mann in einer roten Jacke macht Bilder von Graffitis.
5239,A man in a jacket jumping around a stick-pole on the beach.,Ein Mann in einer Jacke tanzt am Strand um eine Stange herum.
5240,A man in a kilt playing the bagpipes.,Ein Mann in einem Kilt spielt Dudelsack.
5241,An elderly man and a young woman share a laugh on the beach.,Ein älterer Mann und eine junge Frau lachen gemeinsam am Strand.
5242,Two men play acoustic guitar in a public place.,Zwei Männer spielen an einem öffentlichen Ort Akustikgitarre.
5243,A man is standing in a pond and playing with water.,Ein Mann steht in einem Teich und spielt mit Wasser.
5244,Two naked boys at a pool.,Zwei nackte Jungen an einem Schwimmbecken.
5245,A little brown dog with a blue collar is being walked along a path.,Ein kleiner brauner Hund mit blauem Halsband läuft einen Pfad entlang.
5246,People getting tired while travelling.,Menschen auf der Reise werden müde.
5247,Two older ladies are sitting at a bench as a gentleman walks past them from behind.,"Zwei ältere Damen sitzen auf einer Bank, während hinter ihnen ein Herr an ihnen vorbeigeht."
5248,A little boy clowns with a colander on his head.,Ein kleiner Junge albert mit einem Sieb auf dem Kopf herum.
5249,A boy in a green shirt is holding a picture of Castro in the street.,Ein Junge in einem grünen Hemd hält auf der Straße ein Bild Castros.
5250,A child standing in the grass with their arms spread wide.,Ein Kind steht im Gras und hat die Arme weit ausgestreckt.
5251,A young woman in short leggings and a thin green sweater is walking outside in a snowstorm.,Eine junge Frau in kurzen Leggings und einem dünnen grünen Pulli läuft bei einem Schneesturm im Freien.
5252,A large rock formation in the middle of a forest.,Eine große Felsformation in der Mitte eines Walds.
5253,A group of people stand around talking with drinks in their hands.,Eine Gruppe Menschen mit Getränken in der Hand steht redend herum.
5254,Woman drilling a hole in a rock covered in blue squares.,Frau bohrt ein Loch in einen mit blauen Quadraten bedeckten Stein.
5255,"Two old men sit in the front of a boat named Cyranka on a lush, tree lined river.",Zwei alte Männer sitzen vor einem Boot mit dem Namen Cyranka auf einem von Bäumen gesäumten Fluss.
5256,A smiling boy kneeling in a forest.,Ein lächelnder Junge kniet in einem Wald.
5257,A toddler plays the guitar and pretends to be a rock star.,"Ein Kleinkind spielt Gitarre und tut so, als ob es ein Rockstar wäre."
5258,Two women holding fast food drinks are laughing.,Zwei Frauen mit Fastfood-Getränken in der Hand lachen.
5259,A man in a red cap is speaking to a man in a black shirt and a man in a pink shirt with a shaved head.,Ein Mann mit roter Mütze spricht mit einem Mann im schwarzen Hemd und einem Mann im roten Hemd mit kahlrasiertem Schädel.
5260,Three girls carrying large handbags are walking down the sidewalk.,Drei Mädchen mit großen Handtaschen laufen den Gehweg entlang.
5261,A man with a headscarf is gesturing with his eyes closed while holding some kind of stick.,Ein Mann mit einem Kopftuch gestikuliert mit geschlossenen Augen und hält dabei eine Art Stock.
5262,A meeting of young people sitting at a conference table.,"Eine Besprechung junger Menschen, die an einem Konferenztisch sitzen."
5263,A kid wearing a brown hoodie doing an ollie.,Ein Kind in einem braunen Hoodie macht einen Ollie.
5264,A young individual lays in the sun on a hill drinking a soda.,Ein junger Mensch liegt in der Sonne über einem Hügel und trinkt einen Softdrink.
5265,A woman in tennis clothes running to hit a ball with her tennis racket.,"Eine Frau in Tenniskleidung rennt, um mit ihrem Tennisschläger einen Ball zu schlagen."
5266,A young boy swings a golf club with an open field in front of him.,Ein kleiner Junge schwingt einen Golfschläger vor einem offenen Feld.
5267,A woman with blond-hair is smiling and putting on a white sweater.,Eine Frau mit blondem Haar lächelt und zieht einen weißen Pulli an.
5268,A nude woman submerges herself in a natural pool.,Die nackte Frau taucht im Schwimmbecken unter.
5269,Two men carrying a hot basket while a couple and a man look on.,"Zwei Männer tragen einen heißen Korb, während ein Paar und eine Frau zuschauen."
5270,A girl waterskis on an autumn day.,Ein Mädchen beim Wasserski an einem Herbsttag.
5271,An orchestra and choir prepare to perform in front of a golden statue in a large building surrounded by columns.,"Orchester und Chor bereiten sich vor einer goldenen Statue in einem großen, von Säulen umrahmten Gebäude auf ihren Auftritt vor."
5272,Two young children under a blue and yellow umbrella.,Zwei kleine Kinder unter einem blau-gelben Schirm.
5273,A person sits with their back to a column while another person sits on nearby steps leading down.,"Eine Person sitzt mit dem Rücken zu einer Säule, während eine andere Person auf einer nahe gelegenen, nach unten führenden Treppe sitzt."
5274,White dog with dark markings jumping to catch an object.,"Weiße Hunde mit schwarzen Abzeichen springen, um einen Gegenstand zu fangen."
5275,The boy is coming down the amusement slide on his knees.,Der Junge fährt auf den Knien die Spaßrutsche herunter.
